apps,time,instance
ft,1147.21,A10
mg,66.21,A10
ft,1141.88,A10
is,110.43,A10
bt,797.13,A10
mg,66.71,A10
is,110.94,A10
sp,1138.55,A10
bt,801.8,A10
bt,795.75,A10
mg,66.96,A10
mg,66.09,A10
bt,791.88,A10
ft,1159.61,A10
ft,1148.97,A10
mg,66.38,A10
lu,482.49,A10
cg,636.82,A10
is,110.9,A10
ep,61.73,A10
alya,351.08,A10
mg,66.4,A10
sp,1152.68,A10
ft,1142.4,A10
cg,601.4,A10
alya,350.25,A10
ft,1160.24,A10
lu,481.63,A10
ft,1144.45,A10
mg,66.79,A10
alya,358.81,A10
bt,794.77,A10
cg,582.15,A10
ep,60.98,A10
ft,1139.12,A10
lu,481.01,A10
lu,480.62,A10
ep,62.12,A10
bt,798.94,A10
ft,1154.02,A10
cg,619.1,A10
mg,68.37,A10
is,111.35,A10
bt,795.38,A10
bt,791.44,A10
ep,61.26,A10
is,112.66,A10
ep,61.01,A10
cg,587.24,A10
ep,60.92,A10
lu,487.81,A10
sp,1158.66,A10
is,110.24,A10
cg,593.98,A10
alya,352.08,A10
cg,593.04,A10
mg,66.06,A10
is,110.75,A10
is,111.43,A10
ft,1148.97,A10
sp,1135.92,A10
is,111.29,A10
sp,1142.3,A10
alya,354.5,A10
ft,1159.08,A10
bt,792.24,A10
ft,1137.38,A10
alya,350.1,A10
ep,61.01,A10
bt,801.59,A10
alya,351.77,A10
is,111,A10
lu,482.88,A10
sp,1136.99,A10
sp,1138.28,A10
sp,1160.22,A10
alya,354.19,A10
ft,1145.75,A10
cg,590,A10
bt,800.42,A10
mg,66.21,A10
ft,1147.19,A10
sp,1133.33,A10
sp,1137.52,A10
lu,483.46,A10
lu,478.07,A10
lu,485.27,A10
is,111.33,A10
cg,575.66,A10
alya,354.36,A10
lu,486.49,A10
is,110.33,A10
ft,1153.01,A10
alya,350.77,A10
mg,66.71,A10
alya,355.48,A10
ep,62.5,A10
alya,352.62,A10
bt,805.36,A10
mg,66.47,A10
cg,643.44,A10
ep,61.23,A10
cg,579.54,A10
is,111.53,A10
lu,482.91,A10
is,111.24,A10
lu,483.04,A10
alya,357.29,A10
ep,62.01,A10
ep,61.09,A10
cg,621.82,A10
sp,1148.69,A10
lu,481.07,A10
bt,797.97,A10
alya,352.68,A10
bt,798.56,A10
ep,62.21,A10
cg,585.77,A10
bt,796.99,A10
mg,66.38,A10
ep,61.83,A10
alya,354.52,A10
mg,66.47,A10
sp,1120.8,A10
cg,622.22,A10
cg,591.68,A10
cg,653.32,A10
ep,61.63,A10
sp,1170.88,A10
is,110.19,A10
mg,66.52,A10
cg,586.65,A10
cg,585.53,A10
ep,61.66,A10
sp,1146.85,A10
lu,482.12,A10
cg,577.22,A10
sp,1161.32,A10
is,115.65,A10
sp,1131.25,A10
ep,61.5,A10
mg,66.67,A10
bt,790.64,A10
mg,66.18,A10
bt,796.97,A10
mg,66.87,A10
mg,67.13,A10
sp,1142.74,A10
alya,354.96,A10
bt,796.83,A10
ep,61.13,A10
mg,66.59,A10
bt,795.55,A10
ft,1154.71,A10
ft,1139.41,A10
ep,61.08,A10
is,110.3,A10
alya,352.1,A10
cg,624.02,A10
is,111.96,A10
lu,481.64,A10
lu,484.85,A10
mg,67.36,A10
is,111.09,A10
alya,351.58,A10
is,110.58,A10
sp,1142.82,A10
lu,484.22,A10
cg,612.21,A10
ft,1150.12,A10
mg,66.27,A10
bt,800.59,A10
bt,805.98,A10
alya,355.05,A10
mg,66.04,A10
alya,352.01,A10
ep,61.59,A10
is,110.21,A10
cg,596.84,A10
ep,61.12,A10
alya,350.6,A10
sp,1136.86,A10
is,110.96,A10
ep,60.93,A10
mg,66.43,A10
ft,1162.03,A10
bt,798.5,A10
sp,1155.68,A10
ft,1159.72,A10
is,110.23,A10
ft,1146.3,A10
bt,790.23,A10
alya,350.73,A10
bt,804.25,A10
sp,1133.02,A10
alya,352.4,A10
mg,65.93,A10
ft,1138.42,A10
is,110.56,A10
cg,578.41,A10
lu,485.28,A10
sp,1144.28,A10
bt,789.76,A10
alya,353.24,A10
ep,61.46,A10
cg,628.4,A10
bt,796.45,A10
ep,61.11,A10
alya,346.27,A10
cg,573.02,A10
sp,1150.18,A10
mg,66.45,A10
lu,485.2,A10
ep,61.65,A10
bt,798.73,A10
ft,1143.58,A10
lu,480.66,A10
lu,481.93,A10
mg,66.49,A10
cg,631.44,A10
ft,1162.94,A10
cg,620.29,A10
ep,61.3,A10
is,110.61,A10
sp,1152.61,A10
sp,1134.74,A10
is,110.64,A10
ft,1162.62,A10
lu,482.33,A10
is,111.1,A10
lu,486.02,A10
lu,480.83,A10
lu,482.31,A10
alya,350.92,A10
cg,613.19,A10
lu,480.41,A10
alya,351.39,A10
mg,68.26,A10
alya,351.55,A10
ep,62.4,A10
bt,794.21,A10
bt,801.74,A10
ep,61.23,A10
lu,489.12,A10
mg,65.83,A10
alya,349.81,A10
cg,612.86,A10
lu,488.29,A10
ft,1151.72,A10
sp,1132.98,A10
ft,1142.92,A10
ep,61.01,A10
alya,350.99,A10
sp,1136.82,A10
is,113.93,A10
ep,61.74,A10
sp,1171.64,A10
lu,482.96,A10
sp,1123.94,A10
mg,66.41,A10
ft,1137.79,A10
cg,615.06,A10
ft,1135.26,A10
is,109.78,A10
sp,1148.06,A10
is,113.59,A10
lu,482.87,A10
bt,800.12,A10
ft,1154.96,A10
ep,61.23,A10
