apps,interface,number
charac_cg,ib,1
charac_cg,ipoib,2
charac_mg,eth,3
charac_is,eth,4
charac_bt,eth,5
charac_ep,eth,6
charac_bt,ipoib,7
charac_alya,eth,8
charac_alya,ipoib,9
charac_is,ib,10
charac_ft,ib,11
charac_is,ipoib,12
charac_imb_CPU,ib,13
charac_imb_CPU,eth,14
charac_imb_CPU,ipoib,15
charac_imb_memory,ib,16
charac_ft,ipoib,17
charac_imb_memory,eth,18
charac_mg,ib,19
charac_lu,eth,20
charac_lu,ipoib,21
charac_lu,ib,22
charac_bt,ib,23
charac_ep,ib,24
charac_ep,ipoib,25
charac_sp,ipoib,26
charac_ft,eth,27
charac_sp,eth,28
charac_alya,ib,29
charac_imb_memory,ipoib,30
charac_cg,eth,31
charac_mg,ipoib,32
charac_sp,ib,33
